"membership","hours","ride_total"
"casual","0","22937"
"member","0","20455"
"casual","1","14554"
"member","1","11788"
"casual","2","8430"
"member","2","6475"
"casual","3","4249"
"member","3","4081"
"casual","4","3255"
"member","4","5137"
"casual","5","7381"
"member","5","23079"
"casual","6","20113"
"member","6","73109"
"casual","7","35168"
"member","7","136264"
"casual","8","47662"
"member","8","167421"
"casual","9","48217"
"member","9","109078"
"casual","10","61348"
"member","10","97642"
"casual","11","77969"
"member","11","115215"
"casual","12","91786"
"member","12","131007"
"casual","13","95492"
"member","13","129656"
"casual","14","98898"
"member","14","130547"
"casual","15","109023"
"member","15","161434"
"casual","16","127170"
"member","16","223243"
"casual","17","140027"
"member","17","266373"
"casual","18","118208"
"member","18","208353"
"casual","19","86775"
"member","19","145904"
"casual","20","61993"
"member","20","100184"
"casual","21","50615"
"member","21","75724"
"casual","22","44597"
"member","22","54628"
"casual","23","31967"
"member","23","33715"
